extracted_symptom,linked_symptom
a headache,Headache
hypertension,Hypertension
nausea,Nausea
diabetes mellitus,Diabetes mellitus
cough,Cough
nausea,Nausea
adverse event,Adverse event
Asthma,Asthma
No adverse event,No adverse event
any pain,Pain
NV,Investigation
any discomfort,Discomfort
pain,Pain
Patients sepsis bpa,Sepsis
sepsis,Sepsis
acute distress,Stress
chest pain,Chest pain
dry cough,Cough
headache,Headache
hypoxia,Hypoxia
general malaise,Malaise
sepsis,Sepsis
COVID pneumonia,COVID-19 pneumonia
acute pneumonia,Pneumonia
COVID,Asymptomatic COVID-19
weakness,Injection site muscle weakness
the cough,Cough
Cough,Cough
pneumonia,Pneumonia
COVID,Asymptomatic COVID-19
No adverse event,No adverse event
The tinnitus,Tinnitus
Tinnitus in both ears,Tinnitus
vertigo,Vertigo
tinnitus,Tinnitus
apnea,Apnoea
pleural effusion,Pleural effusion
ventricular tachycardia,Ventricular tachycardia
nauseated,Nausea
reaction,Adverse drug reaction
blurred vision,Vision blurred
iron deficiency,Iron deficiency
rheumatoid arthritis,Rheumatoid arthritis
necrosis,Necrosis
a new cough,Cough
consolidated right upper lobe pneumonia,Pneumonia
extensive wheezing,Wheezing
vomiting,Vomiting
Her COVID-19 infection,COVID-19
chills,Chills
chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease
hypertension,Hypertension
complete obstruction of the right upper lobe,Obstruction
diarrhea,Diarrhoea
malaise,Malaise
obstruction of the right upper lobe bronchus,Obstruction
increased changes of necrosis,Necrosis
SEVERE ABDOMINAL PAIN,Abdominal pain
2 OVARIAN CYSTS,Cyst
CHILLS,Chills
CONFUSION,Confusional state
DISCOMFORT ON URINATION,Discomfort
ACHING,Computerised tomogram spine
HIGH BLOOD PRESSURE CHEST PAIN,Chest pain
HEAVINESS,Nervousness
ER SEVERE ABDOMINAL PAIN,Abdominal pain
BILATERAL OVARIAN CYSTS,Cyst
CHEST PAIN,Chest pain
OVARIAN CYSTS,Ovarian cyst
WORSE PAIN,Pain
CANCER,Breast cancer female
"chest, throat, jaw pain",Pain
nausea,Nausea
sweating,Hyperhidrosis
Lightheaded,Pupillary light reflex tests abnormal
a sharp pain,Pain
COVID-19 INFECTION,COVID-19
tired,Fatigue
CLINICAL VACCINATION FAILURE,Vaccination failure
covid-19 infection,COVID-19
clinical vaccination failure,Vaccination failure
chest pain,Chest pain
cough,Cough
No adverse event,No adverse event
My unnatural fatigue,Fatigue
rigors,Joint stiffness
chills,Chills
tachycardic,Tachycardia
a severe headache,Headache
extreme fatigue,Fatigue
continued chills,Chills
LEFT ARM PAIN,Pain
My left arm continuous pain,Pain
PAIN,Pain
acute respiratory failure,Acute respiratory failure
pseudomonas,Pseudomonas test positive
encephalopathy,Encephalopathy
pneumonia,Pneumonia
para pneumonic effusion,Effusion
AKI,Pollakiuria
Death,Death
pneumothorax,Pneumothorax
HTN,Muscle tightness
Cough productive,Productive cough
chronic Bronchiectasis,Bronchiectasis
Sarcoidosis,Sarcoidosis
Asthma,Asthma
c/o cough,Cough
Fibrosis,Fibrosis
No adverse event,No adverse event
ILLNESS,Illness
UTI,Therapeutic procedure
sick,Motion sickness
No adverse event,No adverse event
a vaccination reaction,Vaccination site reaction
Sensory disturbance,Sensory disturbance
HEADACHE,Headache
CHILLS,Chills
lymphadenopathy,Lymphadenopathy
FATIGUE,Fatigue
chills,Chills
Asthma,Asthma
dizziness,Dizziness
DIZZINESS,Dizziness
swollen,Swollen tongue
"slight headache""",Headache
headache,Headache
fatigue,Fatigue
LYMPHADENOPATHY,Lymphadenopathy
fever,Pyrexia
antibodies,Antiphospholipid antibodies
environmental infection,Infection
diarrhea,Diarrhoea
emesis,Haematemesis
systemic inflammation,Inflammation
Infection,Infection
fevers,Pyrexia
continued active inflammation,Inflammation
conjunctivitis,Conjunctivitis
Severe ongoing daily joint pain,Pain
Severe ongoing joint pain,Pain
severe swelling of hands and knuckles,Swelling
Atrial Flutter,Atrial flutter
Severe joint pain,Pain
atrial flutter,Atrial flutter
Joint pain,Pain
elevated heart rate,Heart rate
constant joint pain,Pain
ADVERSE EVENT,Adverse event
adverse event,Adverse event
NAUSEA,Nausea
Freezing,Atrioventricular block
Severe migraine,Migraine
MIGRAINE (Severe migraine),Migraine
MYALGIA,Myalgia
NAUSEA (Nausous) outcome,Nausea
FEELING COLD (Freezing),Feeling cold
NAUSEA (Nausous),Nausea
CHILLS,Chills
MYALGIA (Body aches),Myalgia
Chills,Chills
cardiac arrest,Cardiac arrest
hypovolemia,Hypovolaemia
Cough,Cough
hypotension,Hypotension
D,Accident
AKI,Pollakiuria
Extreme pain,Pain
No adverse event,No adverse event
vomiting,Vomiting
unresponsive,Unresponsive to stimuli
chest pain,Chest pain
confused,Clostridium difficile colitis
fever,Pyrexia
chills,Chills
combative,Tic
abdominal pain,Abdominal pain
agitated,Shift to the left
nausea,Nausea
diarrhea,Diarrhoea
No adverse event,No adverse event
significant arm pain at injection site,Injection
The swelling,Swelling
ADR,Adrenal disorder
The visible lymphadenopathy,Lymphadenopathy
the lymphadenopathy,Lymphadenopathy
lymphedema,Lymphoedema
significant lymphadenopathy,Lymphadenopathy
vaccination failure,Vaccination failure
vomiting,Vomiting
chills,Chills
pressure,Blood pressure abnormal
hot,Feeling hot
nauseas,Nausea
the pain,Pain
pericarditis,Pericarditis
spinning,Computerised tomogram spine
headache,Headache
a headache,Headache
intermittent  chest discomfort,Chest discomfort
pain,Pain
my cardiac discomfort,Cardiac discomfort
joint pain,Pain
The pain,Pain
significant kidney pain,Pain
constipation,Constipation
coronary artery disease,Coronary artery disease
weakness,Injection site muscle weakness
this obstruction,Obstruction
Klebsiella pneumoniae,Pneumonia klebsiella
legal blindness,Blindness
the kidney infection,Kidney infection
hypotension,Hypotension
AKI,Pollakiuria
The obstruction of the right kidney,Obstruction
cancer,Breast cancer female
pain control,Pain
untreated right renal mass,Mass
hypertension,Hypertension
left renal mass,Mass
severe sepsis,Sepsis
malaise,Malaise
UTI,Therapeutic procedure
bleeding,Bleeding anovulatory
the mass,Mass
anemia,Anaemia
depression,Depression
anxiety,Anxiety
No adverse event,No adverse event
weak,Injection site muscle weakness
Death,Death
her recurrent falls,Fall
recent falls,Fall
COVID,Asymptomatic COVID-19
COVID-19 infection,COVID-19
fatigued,Fatigue
decreased appetite,Decreased appetite
weakness,Injection site muscle weakness
"Glaucoma""",Glaucoma
COVID,Asymptomatic COVID-19
suicidal ideation,Suicidal ideation
acute kidney injury,Acute kidney injury
bacterial pneumonia,Pneumonia bacterial
hypoxia,Hypoxia
respiratory depression,Respiratory depression
diarrhea,Diarrhoea
COVID pneumonia,COVID-19 pneumonia
Acute Hypoxic Respiratory Failure,Acute respiratory failure
No adverse event,No adverse event
pain,Pain
LIMB INJURY,Limb injury
excruciating pain,Pain
horrific and excruciating pain,Pain
PAIN,Pain
No adverse event,No adverse event
No adverse event,No adverse event
Skin reaction,Skin reaction
Mild pain,Pain
some inflammation,Inflammation
the swelling,Swelling
my skin reaction,Skin reaction
muscle pain,Pain
swelling in vaccinated forearm,Swelling
The finger deformity,Finger deformity
uticaria,Urticaria
chills,Chills
Swelling,Swelling
scab features,Scab
The skin reaction,Skin reaction
a rash of round,Rash
pain in ring finger,Pain
some fluid discharge,Discharge
clicks,Fall
The  rash,Rash
pain,Pain
Muscle pain,Pain
Fatigue,Fatigue
swelling,Swelling
No adverse event,No adverse event
sinus congestion,Sinus congestion
the sinus infection,Infection
a sinus infection,Infection
clear nasal drainage,Drainage
sinus drainage,Drainage
typical COVID-19 drainage,COVID-19
No adverse event,No adverse event
No adverse event,No adverse event
No adverse event,No adverse event
URTICARIA (hives / generalized,Urticaria
URTICARIA,Urticaria
hives,Urticaria
the massive headache,Headache
"Massive headache""",Headache
Massive headache,Headache
HEADACHE,Headache
a massive headache,Headache
infection,Infection
Hives,Urticaria
Itching,Muscle twitching
chronic atrophy,Atrophy
Hypothyroidism,Hypothyroidism
No adverse event,No adverse event
COVID,Asymptomatic COVID-19
encephalopathy,Encephalopathy
fever,Pyrexia
headache,Headache
weight loss,Weight
muscle weakness,Injection site muscle weakness
nausea,Nausea
diarrhea,Diarrhoea
constipation,Constipation
extreme fatigue,Fatigue
agonizing pain in shoulder,Pain
pain,Pain
discomfort,Discomfort
sever dizziness,Dizziness
vomited,Retching
nausea,Nausea
worse dizziness,Dizziness
vertigo,Vertigo
dizziness,Dizziness
breast cancer,Breast cancer female
Symptoms,Lower urinary tract symptoms
heart palpitations,Palpitations
granuloma formation,Granuloma
slight chest pain,Chest pain
symptoms,Lower urinary tract symptoms
severe sinus pressure/inflammation,Inflammation
pressure discomfort in the mediastinal area,Discomfort
strong heart palpitations,Palpitations
INJECTION SITE EXTRAVASATION,Injection site extravasation
bronchitis,Bronchitis
the bronchitis,Bronchitis
tired,Fatigue
the cough,Cough
inflammation,Inflammation
the throat pain,Pain
fever,Pyrexia
the throat swelling,Swelling
sweating,Hyperhidrosis
the chest pain,Chest pain
throat swelling,Swelling
dizziness,Dizziness
chest pain,Chest pain
Nausea weakness,Nausea
multiple seizures,Seizure
diarrhea,Diarrhoea
COVID,Asymptomatic COVID-19
cough,Cough
Breakthrough COVID-19 infection,Breakthrough COVID-19
allergies,Allergy test
an ADR,Scan adrenal gland abnormal
asthma,Asthma
HTN,Muscle tightness
dysphagia,Dysphagia
death,Death
pneumonia,Pneumonia
blockage,Obstruction
No adverse event,No adverse event
VACCINATION SITE ERYTHEMA,Vaccination site erythema
arthralgia,Arthralgia
vaccination site erythema,Vaccination site erythema
hypoaesthesia,Hypoaesthesia
fatigue,Fatigue
FATIGUE,Fatigue
ARTHRALGIA,Arthralgia
red,Extra dose administered
No adverse event,No adverse event
No adverse event,No adverse event
No adverse event,No adverse event
any adverse reaction,Adverse reaction
really severe chills),Chills
MYALGIA,Myalgia
really severe chills,Chills
FEELING ABNORMAL,Feeling abnormal
CHILLS,Chills
Tachycardia,Tachycardia
No adverse event,No adverse event
No adverse event,No adverse event
headache,Headache
penetrating headache,Headache
a headache,Headache
HEADACHE,Headache
a penetrating headache,Headache
Plaque psoriasis,Psoriasis
Seasonal allergy,Seasonal allergy
VISUAL IMPAIRMENT,Visual impairment
EAR PAIN,Ear pain
SEASONAL ALLERGY (Seasonal allergy),Seasonal allergy
Ear pain,Ear pain
No adverse event,No adverse event
celiac disease,Coeliac disease
fatigue,Fatigue
congestion,Ear congestion
my COVID infection,Infection
headache,Headache
chills,Chills
sinus congestion,Sinus congestion
ear pain,Ear pain
cough,Cough
Vaccination adverse reaction,Adverse reaction
VACCINATION COMPLICATION,Vaccination complication
Excruciating pain,Pain
lower back pain,Back pain
Upper spine pain,Pain
much pain,Pain
-pain,Pain
pain,Pain
pains,Pain
groin pain,Groin pain
Pain,Pain
hip joints pain,Pain
the pain in my chest,Pain
a severe headache on the right side,Headache
pain in my jaw,Pain in jaw
lightheadedness,Vertigo
pain in my chest,Pain
chest pain,Chest pain
fever,Pyrexia
the trigeminal neuralgia pain,Trigeminal neuralgia
inflammation,Inflammation
Headaches,Headache
abdominal pain,Abdominal pain
headache,Headache
the headache,Headache
a headache,Headache
tingling,Tic
symptom,Allergic respiratory symptom
severe shaking chills,Chills
Flu,Atrial flutter
No adverse event,No adverse event
No adverse event,No adverse event
Allergic rhinitis,Rhinitis allergic
anaphylactic reaction,Anaphylactic reaction
adverse events,Adverse event
THROAT IRRITATION,Throat irritation
Asthma,Asthma
throat irritation,Throat irritation
adverse events,Adverse event
No adverse event,No adverse event
pain,Pain
COVID pneumonia,COVID-19 pneumonia
sepsis,Sepsis
tachypnea,Tachypnoea
unresponsive,Unresponsive to stimuli
illness,Illness
"Chronic Bronchitis""",Bronchitis chronic
Asthma,Asthma
No adverse event,No adverse event
Sepsis,Sepsis
acute respiratory failure,Acute respiratory failure
asthma,Asthma
Acute metabolic encephalopathy,Metabolic encephalopathy
hyperthyroidism,Hyperthyroidism
Bacterial pneumonia,Pneumonia bacterial
HTN,Muscle tightness
hypoxia,Hypoxia
paroxysmal atrial fibrillation,Atrial fibrillation
Acute respiratory failure,Acute respiratory failure
vocal cord paralysis,Paralysis
stridor,Stridor
soft tissue mass,Mass
SSI   Hyperthyroidism,Hyperthyroidism
thyroid mass,Thyroid mass
underlying asthma,Asthma
Severe sepsis,Sepsis
left side pelvic pain,Pain
Tenderness,Tenderness
Pain,Pain
Bilateral mild armpit tenderness,Tenderness
diverticulitis,Diverticulitis
disproportionate fatigue,Fatigue
fatigue,Fatigue
tightness,Muscle tightness
Weakness,Injection site muscle weakness
symptoms,Lower urinary tract symptoms
Tachycardia,Tachycardia
weakness,Injection site muscle weakness
chest pain,Chest pain
asthma,Asthma
hypertension,Hypertension
hyperlipidemia,Hyperlipidaemia
atrial flutter,Atrial flutter
cough,Cough
No adverse event,No adverse event
both acute and chronic illnesses,Illness
adverse event,Adverse event
ADVERSE EVENT,Adverse event
restlessness,Restlessness
pain,Pain
chills,Chills
tachycardia,Tachycardia
easily fatigued,Fatigue
increased anxiety,Anxiety
vaccination failure,Vaccination failure
flu,Atrial flutter
ERYTHEMA (Hives,Erythema
URTICARIA,Urticaria
red,Extra dose administered
PALPITATIONS,Palpitations
Cardiac disorder,Cardiac disorder
PRURITUS,Pruritus
ERYTHEMA,Erythema
Hives,Urticaria
No adverse event,No adverse event
symptomatic,Asymptomatic COVID-19
osteoperosis,Osteoporosis
Fall,Fall
urinary retention,Urinary retention
recent illness,Illness
hypertension,Hypertension
hyponatremia,Hyponatraemia
fecal incontinence,Incontinence
dehydration,Dehydration
pelvic pain,Pelvic pain
a mechanical fall,Fall
comminuted right fracture,Comminuted fracture
pulmonary embolism,Pulmonary embolism
Pulmonary Embolism,Pulmonary embolism
PULMONARY EMBOLISM,Pulmonary embolism
pleural effusion,Pleural effusion
Pleural Effusion,Pleural effusion
PLEURAL EFFUSION,Pleural effusion
PYREXIA,Pyrexia
Plaque psoriasis,Psoriasis
FEVER,Pyrexia
Psoriasis,Psoriasis
PYREXIA (FEVER) outcome,Pyrexia
No adverse event,No adverse event
Idiopathic Intracranial Hypertension,Idiopathic intracranial hypertension
severe Headache,Headache
headaches,Headache
headache,Headache
back pain,Back pain
chill,Chills
bone pain,Bone pain
shingles,Herpes zoster
painful,Pain
MYALGIA,Myalgia
chills,Chills
CHILLS,Chills
No adverse event,No adverse event
hypotension,Hypotension
Alzheimer dementia,Dementia Alzheimer's type
"""hypoxia",Hypoxia
confusion,Confusional state
fever,Pyrexia
esophagitis,Oesophagitis
appetite,Appetite disorder
chills,Chills
mild nausea,Nausea
chest pain,Chest pain
No adverse event,No adverse event
vaccination site pain,Vaccination site pain
PAIN,Pain
No adverse event,No adverse event
Extreme chills,Chills
fever,Pyrexia
nausea,Nausea
the vomiting,Vomiting
vomiting,Vomiting
fatigue,Fatigue
"near syncope""",Syncope
CAD,Wheelchair user
DM,Diabetes mellitus
No adverse event,No adverse event
the pulmonary embolism,Pulmonary embolism
anxiety,Anxiety
acute core pulmonal,Cor pulmonale acute
My pulmonary fibrosis,Pulmonary fibrosis
pneumonia,Pneumonia
a blood disorder,Blood disorder
the blood disorder,Blood disorder
Migraines,Migraine
"Rheumatoid Arthritis""",Rheumatoid arthritis
seizure disorder,Seizure
Hypothyroidism,Hypothyroidism
Diarrhea,Diarrhoea
Myalgia,Myalgia
NauseaVomiting,Nausea
Headache,Headache
COVID 19 infection,COVID-19
UTI,Therapeutic procedure
still coughing,Cough
congested,Cardiac failure congestive
congestion,Ear congestion
a cough,Cough
lethargic,Tic
cough,Cough
soreness,Tenderness
swelling) outcome,Swelling
swelling,Swelling
VACCINATION SITE PAIN,Vaccination site pain
SWELLING,Swelling
pain at the injection site,Injection site pain
No adverse event,No adverse event
a lot of pain,Pain
pain,Pain
Rash to face,Rash
Angioedema of lips,Angioedema
fever,Pyrexia
secondary infection,Infection
pain,Pain
pneumonia,Pneumonia
UTI,Therapeutic procedure
cough,Cough
funny,Cerumen removal
headache,Headache
aches,Computerised tomogram spine
fever,Pyrexia
fatigue,Fatigue
lingering cough,Cough
coughing,Cough
COVID-19 symptoms,COVID-19
chills,Chills
Symptoms,Lower urinary tract symptoms
sinus congestion,Sinus congestion
nasal congestion,Nasal congestion
the fatigue,Fatigue
a miscarriage,Scar
chest pain,Chest pain
No adverse event,No adverse event
No adverse event,No adverse event
coughing,Cough
a deep cough,Cough
sneezing,Sneezing
soreness,Tenderness
congestion,Ear congestion
Symptoms,Lower urinary tract symptoms
cough,Cough
HEADACHE,Headache
ASTHENIA (non-serious),Asthenia
asthenia,Asthenia
illness,Illness
Symptoms,Lower urinary tract symptoms
weak,Injection site muscle weakness
dizziness,Dizziness
DIZZINESS,Dizziness
GAIT DISTURBANCE,Gait disturbance
gait disturbance,Gait disturbance
headache,Headache
NAUSEA,Nausea
a headache,Headache
nausea,Nausea
The headache,Headache
influenza-like illness,Influenza like illness
increased joint pain,Pain
arthralgia,Arthralgia
MUSCULOSKELETAL DISCOMFORT,Musculoskeletal discomfort
dyspnea,Dyspnoea
Death,Death
diarrhea,Diarrhoea
acute sinusitis,Acute sinusitis
sepsis,Sepsis
confusion,Confusional state
acute resp failure w/hypoxia,Hypoxia
a seizure,Seizure
seizures,Seizure
chest pain,Chest pain
allergies,Allergy test
HTN,Muscle tightness
recurrent syncope,Syncope
COVID-19 infection,COVID-19
his mild dry cough,Cough
consciousness,Consciousness fluctuating
mild dry cough,Cough
fracture,Ankle fracture
DM,Diabetes mellitus
seizure,Seizure
a seizure,Seizure
seizures,Seizure
dry skin,Dry skin
discomfort,Discomfort
c/o,Cardiac operation
c/o pain,Pain
adverse reaction,Adverse reaction
headaches,Headache
fever coughing,Cough
muscle or joint pain,Pain
The pain,Pain
Pain in right calf,Pain
Chills,Chills
"mild fatigue""",Fatigue
congestion,Ear congestion
pain in my arm,Pain
sweating,Hyperhidrosis
migraines,Migraine
DEPRESSED MOOD,Depressed mood
cough,Cough
The pain,Pain
PAIN IN EXTREMITY,Pain in extremity
mild fatigue,Fatigue
Extreme fatigue,Fatigue
bilateral hernias,Hernia
Lump,Swelling
fatigue,Fatigue
pain,Pain
symptoms,Lower urinary tract symptoms
the deep coughing,Cough
painful,Pain
No adverse event,No adverse event
Sinus Infection,Infection
ANOSMIA,Anosmia
SINUSITIS (Sinus Infection) outcome,Infection
ANOSMIA (Loss of Smell),Anosmia
HEADACHE,Headache
AGEUSIA (Loss of Taste),Ageusia
SINUSITIS (Sinus Infection,Infection
Headache,Headache
"Kidney disease""",Chronic kidney disease
OROPHARYNGEAL PAIN,Oropharyngeal pain
FATIGUE,Fatigue
Diabetes mellitus,Diabetes mellitus
HYPERHIDROSIS,Hyperhidrosis
MUSCLE SPASMS,Muscle spasms
cold,Cold sweat
CHILLS,Chills
fatigue,Fatigue
a cough,Cough
COVID,Asymptomatic COVID-19
"""cold""",Cold sweat
NASOPHARYNGITIS,Nasopharyngitis
depression,Depression
epilepsy,Epilepsy
hyperlipidemia,Hyperlipidaemia
anxiety,Anxiety
worsening cough,Cough
morbid obesity,Obesity
chronic hepatitis-C,Hepatitis
restless leg syndrome,Restless legs syndrome
allergic rhinitis,Rhinitis allergic
breakthrough infection,Vaccine breakthrough infection
No adverse event,No adverse event
Numbness,Apathy
the pain,Pain
pain,Pain
sciatic nerve problem,Tic
Radiating pain,Pain
fatigue,Fatigue
coughing,Cough
The fatigue,Fatigue
symptoms,Lower urinary tract symptoms
sinus congestion,Sinus congestion
the swelling in the right knee,Swelling
lymphedema,Lymphoedema
Left ear discomfort,Ear discomfort
Pain,Pain
No adverse event,No adverse event
tightness,Muscle tightness
flushed,Cardioactive drug level increased
MUSCLE CONTRACTIONS INVOLUNTARY,Muscle contractions involuntary
NONINFECTIVE ENCEPHALITIS,Noninfective encephalitis
Multi organ inflammation,Inflammation
Knee swelling,Swelling
swollen,Swollen tongue
Pain,Pain
Autoimmune disorder,Autoimmune disorder
Knee swelling/knees swelled,Swelling
pain,Pain
JOINT SWELLING,Joint swelling
PAIN,Pain
Swelling,Swelling
MOBILITY DECREASED (Diminished mobility),Mobility decreased
PERIPHERAL SWELLING,Peripheral swelling
significant swelling,Swelling
No adverse event,No adverse event
Stomach pain,Pain
pancreatitis,Pancreatitis
No adverse event,No adverse event
a cough,Cough
No adverse event,No adverse event
anemia,Anaemia
allergic,Allergic reaction to excipient
asthma,Asthma
congestion,Ear congestion
sneezing,Sneezing
adverse event,Adverse event
Asthma,Asthma
gagging,Retching
Adverse event,Adverse event
Mild,Biopsy soft tissue
Soreness at injection site,Injection
myalgia,Myalgia
vomiting,Vomiting
Weight loss,Weight
paresthesia,Paraesthesia
continued tingling/burning sensation,Burning sensation
Covid-19 positive,COVID-19
Covid-19 infection,COVID-19
symptoms,Lower urinary tract symptoms
AMS,Abnormal dreams
PALPITATIONS,Palpitations
muscle spasms,Muscle spasms
HEADACHE,Headache
pain,Pain
MUSCLE SPASMS,Muscle spasms
EYE PAIN,Eye pain
VACCINATION SITE HAEMORRHAGE,Vaccination site haemorrhage
MOVEMENT DISORDER,Movement disorder
Headaches,Headache
PAIN,Pain
asymptomatic,Asymptomatic COVID-19
COVID infection,Infection
lethargic,Tic
dementia,Dementia
AMS,Abnormal dreams
No adverse event,No adverse event
MUSCULOSKELETAL STIFFNESS,Musculoskeletal stiffness
stiff),Joint stiffness
PAIN (sore),Pain
FATIGUE,Fatigue
Fatigue,Fatigue
stiff,Joint stiffness
symptoms,Lower urinary tract symptoms
sore,Abdominal tenderness
RESPIRATORY FAILURE,Respiratory failure
CONFUSION,Confusional state
END STAGE RENAL DISEASE,End stage renal disease
WEAKNESS,Injection site muscle weakness
HYPOXIA,Hypoxia
lightheaded,Pupillary light reflex tests abnormal
extreme vertigo,Vertigo
diarrhea,Diarrhoea
a bed pain,Pain
headache,Headache
spastic paraparesis,Tic
a terrible headache,Headache
ADR,Adrenal disorder
tired,Fatigue
clonus,Clonus
PTSD,Stress
chronic pain syndrome,Pain
symptoms,Lower urinary tract symptoms
my neurological symptoms,Neurological symptom
bleed,Bleeding anovulatory
No adverse event,No adverse event
headaches,Headache
diarrhea,Diarrhoea
sinus pain,Sinus pain
tiredness,Fatigue
CONTUSION,Contusion
pink,Staphylococcal infection
reaction,Adverse drug reaction
adverse event,Adverse event
bruises,Contusion
SKIN DISCOLOURATION,Skin discolouration
VACCINATION SITE BRUISING,Vaccination site bruising
red,Extra dose administered
dyspnea,Dyspnoea
fatigue,Fatigue
hypotension,Hypotension
COVID,Asymptomatic COVID-19
cough,Cough
No adverse event,No adverse event
numb,Product lot number issue
red,Extra dose administered
very painful,Pain
No adverse event,No adverse event
fever,Pyrexia
Fatigue,Fatigue
rash over body,Rash
weakness,Injection site muscle weakness
mild myocarditis,Myocarditis
milf pericarditis,Pericarditis
costochondritis,Costochondritis
severe spasticity,Tic
severe encephalopathy,Encephalopathy
leukoencephalopathy,Leukoencephalopathy
comatose,Coma
NAUSEA,Nausea
MALAISE,Malaise
HEADACHE,Headache
Nausea,Nausea
NAUSEA (Nausea) outcome,Nausea
Malaise,Malaise
Headache,Headache
diaphoresis,Hyperhidrosis
nausea,Nausea
sudden chest pain,Chest pain
radiating pain,Pain
initially lower sub-sternal chest pain,Chest pain
Pain,Pain
Chest pain,Chest pain
left femur fracture,Femur fracture
lymphoedema,Lymphoedema
headache,Headache
vomit,Cyclic vomiting syndrome
lupus,Lupus nephritis
leukemia,Chronic lymphocytic leukaemia
positive,Allergy test positive
any trouble or adverse reaction,Adverse reaction
No adverse event,No adverse event
adverse reaction,Adverse reaction
No adverse event,No adverse event
No adverse event,No adverse event
diabetic,Diabetic diet
symptoms,Lower urinary tract symptoms
neck pain,Neck pain
NECK PAIN,Neck pain
PAIN IN EXTREMITY,Pain in extremity
pain in extremity,Pain in extremity
No adverse event,No adverse event
vomiting,Vomiting
illness,Illness
left ventricular dysfunction,Left ventricular dysfunction
conjunctivitis,Conjunctivitis
symptoms,Lower urinary tract symptoms
rash,Rash
headache,Headache
abdominal pain,Abdominal pain
complications,Complication of pregnancy
diarrhea,Diarrhoea
fevers,Pyrexia
known COVID pneumonia,Pneumonia
vomiting,Vomiting
mild upper respiratory symptoms,Respiratory symptom
mild nausea,Nausea
weakness,Injection site muscle weakness
chills,Chills
Symptoms,Lower urinary tract symptoms
symptomatic,Asymptomatic COVID-19
OSA,Adiposis dolorosa
fatigue,Fatigue
fevers,Pyrexia
cough,Cough
fever,Pyrexia
blisters,Blister
swollen,Swollen tongue
injection site pain,Injection site pain
swollen and painful lymph node,Pain
chills,Chills
gums,Gingival bleeding
headach,Headache
Symptoms,Lower urinary tract symptoms
extreme fatigue,Fatigue
sore,Abdominal tenderness
chills,Chills
fever,Pyrexia
COVID,Asymptomatic COVID-19
headache,Headache
fever,Pyrexia
fall,Fall
migraines,Migraine
diarrhea,Diarrhoea
right knee pain,Pain
myalgias,Myalgia
chills,Chills
nausea,Nausea
vomiting,Vomiting
stomach pains,Pain
Discomfort in right leg,Discomfort
No adverse event,No adverse event
fever,Pyrexia
Varicella Zoster Virus,Varicella zoster virus infection
the necrosis,Necrosis
Acutre Retina Necrosis,Necrosis
blurred vision,Vision blurred
inflammation,Inflammation
necrosis of the left retina,Necrosis
painful,Pain
No adverse event,No adverse event
fever,Pyrexia
severe pain,Pain
This pain,Pain
debilitating,Drain placement
Trigeminal Nerve pain,Pain
The pain,Pain
the debilitating pain,Pain
This horrible pain,Pain
night sweats,Night sweats
fever,Pyrexia
joint pain,Pain
blurred vision,Vision blurred
severe facial pain,Facial pain
numbness,Apathy
throat swelling,Swelling
visible distress,Stress
visible facial swelling,Swelling
the rash,Rash
N/V,Genital infection viral
significant pruritus,Pruritus
diarrhea,Diarrhoea
a rash,Rash
The rash,Rash
abdominal discomfort,Abdominal discomfort
MALAISE,Malaise
migraines,Migraine
diarrhoea,Diarrhoea
diarrhea,Diarrhoea
migraine,Migraine
DIARRHOEA,Diarrhoea
malaise,Malaise
genital herpes,Genital herpes
weight decreased,Weight decreased
MIGRAINE,Migraine
GENITAL HERPES,Genital herpes
No adverse event,No adverse event
PARAESTHESIA,Paraesthesia
Pyrexia,Pyrexia
FEELING ABNORMAL,Feeling abnormal
MYALGIA (Myalgia),Myalgia
Constant nerve pain,Pain
Adverse event,Adverse event
PYREXIA (Pyrexia),Pyrexia
MALAISE,Malaise
Feeling abnormal,Feeling abnormal
Discomfort,Discomfort
Pain in extremity),Pain in extremity
PAIN IN EXTREMITY,Pain in extremity
Pain in extremity,Pain in extremity
Feeling abnormal),Feeling abnormal
Myalgia,Myalgia
DISCOMFORT (Discomfort,Abdominal discomfort
DISCOMFORT (Discomfort),Abdominal discomfort
FEELING ABNORMAL (Feeling abnormal,Feeling abnormal
PYREXIA (Pyrexia) outcome,Pyrexia
MALAISE (Malaise),Malaise
PAIN IN EXTREMITY (Pain in extremity),Pain in extremity
Malaise,Malaise
NEURALGIA,Neuralgia
nausea,Nausea
chills,Chills
a yeast infection,Infection
vomiting,Vomiting
weak,Injection site muscle weakness
infection,Infection
No adverse event,No adverse event
elevated troponins,Troponin
COVID-19 infection,COVID-19
retrosternal chest pain,Chest pain
vomiting blood,Vomiting
fever,Pyrexia
nauseous,Nausea
chills,Chills
dizziness,Dizziness
shivers,Chills
severe dehydration,Dehydration
headaches,Headache
Crohn's,Crohn's disease
a ruptured ovarian cyst,Cyst
nausea,Nausea
diarrhea,Diarrhoea
symptoms,Lower urinary tract symptoms
abdominal pain,Abdominal pain
a 9lb weight gain,Weight
peripheral edema,Oedema peripheral
nausea,Nausea
fatigue,Fatigue
constipation,Constipation
No adverse event,No adverse event
No adverse event,No adverse event
"her arm and ""swelling",Swelling
issues,Acquired diaphragmatic eventration
visual migraine,Migraine
pain,Pain
